email_id	sender	subject	date	body	label
E066	alerts@indeed.com	Analytics Engineer opening in Palo Alto, CA	2/24/26	Stripe Careers has opened applications for a Analytics Engineer position in Palo Alto, CA. Apply here: https://stripe.com/jobs/stripe-analytics-engineer-palo-alto-ca-66. Deadline: March 17, 2026. Key skills: SQL, dbt, data modeling, business intelligence.	relevant
E089	recruiting@accenture.com	Interview invitation: Cloud Engineering Intern at Accenture	2/24/26	Thank you for your interest in the Cloud Engineering Intern role at Accenture. We have received your application.	relevant
E096	library@university.edu	Free webinar on interview preparation	2/24/26	We noticed a recent sign-in attempt. Review your account activity if needed.	irrelevant
E002	jobs-noreply@linkedin.com	Deep Learning Intern at ServiceNow	2/25/26	ServiceNow is hiring a Deep Learning Intern in Los Angeles, CA. Apply here: https://careers.servicenow.com/servicenow-deep-learning-intern-los-angeles-ca-2 Deadline: March 26, 2026. Required skills include Python, PyTorch, neural networks, deep learning.	relevant
E015	careers@apple.com	Backend Developer at Apple	2/25/26	New opportunity: Backend Developer at Apple located in Redmond, WA. Submit your application at https://jobs.apple.com/apple-backend-developer-redmond-wa-15. Deadline: April 06, 2026. Preferred background: Python, application programming interfaces, PostgreSQL, cloud.	relevant
E115	promotions@shop.com	Free webinar on interview preparation	2/25/26	Explore budget-friendly destinations and travel tips for your next trip.	irrelevant
E118	travel@deals.com	Your monthly statement is ready	2/25/26	Explore budget-friendly destinations and travel tips for your next trip.	irrelevant
E030	careers@salesforce.wd1.myworkdaycom	Salesforce is hiring: Deep Learning Intern	2/26/26	Salesforce Careers has opened applications for a Deep Learning Intern position in Austin, TX. Apply here: https://salesforce.wd1.myworkdayjobs.com/salesforce-deep-learning-intern-austin-tx-30. Deadline: March 05, 2026. Key skills: Python, PyTorch, neural networks, deep learning.	relevant
E052	careers@netflix.com	Junior Machine Learning Engineer opening in Menlo Park, CA	2/26/26	New opportunity: Junior Machine Learning Engineer at Netflix located in Menlo Park, CA. Submit your application at https://jobs.netflix.com/netflix-junior-machine-learning-engineer-menlo-park-ca-52. Deadline: March 14, 2026. Preferred background: Python, machine learning operations, scikit-learn, SQL.	relevant
E129	promotions@shop.com	Flash Sale on Electronics	2/26/26	Your account summary for this month is now available online.	irrelevant
E134	newsletter@university.edu	Library hours updated for finals week	2/26/26	Get forty percent off on selected items this weekend only.	irrelevant
E018	alerts@indeed.com	Computer Vision Intern opening in Austin, TX	2/27/26	Intuit is hiring a Computer Vision Intern in Austin, TX. Apply here: https://careers.intuit.com/intuit-computer-vision-intern-austin-tx-18 Deadline: March 09, 2026. Required skills include Python, OpenCV, deep learning, computer vision.	relevant
E080	jobs@handshake.com	Deadline approaching for Accenture Cloud Engineering Intern	2/28/26	Do not miss this opportunity at Accenture: Cloud Engineering Intern in Seattle, WA. Application link: https://accenture.com/us-en/careers/accenture-cloud-engineering-intern-seattle-wa-core Deadline: April 01, 2026.	relevant
E065	careers@uber.com	Uber is hiring: Junior Machine Learning Engineer	3/1/26	Uber Careers has opened applications for a Junior Machine Learning Engineer position in San Francisco, CA. Apply here: https://uber.com/careers/uber-junior-machine-learning-engineer-san-francisco-ca-65. Deadline: February 22, 2026. Key skills: Python, machine learning operations, scikit-learn, SQL.	relevant
E084	alerts@glassdoor.com	Reminder: apply for Data Analyst at Google	3/1/26	Application deadline approaching for Google Data Analyst. Location: Austin, TX. Apply here: https://careers.google.com/google-data-analyst-austin-tx-core Deadline: March 08, 2026.	relevant
E095	recruiting@google.com	Update on your application to Google	3/1/26	Thank you for your interest in the Data Analyst role at Google. We have received your application.	relevant
E051	jobs@handshake.com	Netflix is hiring: Software Engineer New Graduate	3/3/26	Applications are now open for the Software Engineer New Graduate role at Netflix in Remote. Apply: https://jobs.netflix.com/netflix-software-engineer-new-graduate-remote-51 Deadline: April 11, 2026. Skills: Python, Java, algorithms, systems design.	relevant
E061	jobs@handshake.com	Software Engineer New Graduate at ServiceNow	3/3/26	Applications are now open for the Software Engineer New Graduate role at ServiceNow in San Jose, CA. Apply: https://careers.servicenow.com/servicenow-software-engineer-new-graduate-san-jose-ca-61 Deadline: April 03, 2026. Skills: Python, Java, algorithms, systems design.	relevant
E073	alerts@indeed.com	Reminder: apply for Computer Vision Intern at Intuit	3/3/26	Application deadline approaching for Intuit Computer Vision Intern. Location: Austin, TX. Apply here: https://careers.intuit.com/intuit-computer-vision-intern-austin-tx-core Deadline: March 09, 2026.	relevant
E077	alerts@glassdoor.com	Reminder: apply for Data Analyst at Google	3/3/26	Application deadline approaching for Google Data Analyst. Location: Austin, TX. Apply here: https://careers.google.com/google-data-analyst-austin-tx-core Deadline: March 08, 2026.	relevant
E020	alerts@indeed.com	Backend Developer at Palantir	3/4/26	Applications are now open for the Backend Developer role at Palantir in Chicago, IL. Apply: https://palantir.com/careers/palantir-backend-developer-chicago-il-20 Deadline: March 05, 2026. Skills: Python, application programming interfaces, PostgreSQL, cloud.	relevant
E082	jobs@handshake.com	Reminder: apply for Software Engineer New Graduate at Netflix	3/5/26	Do not miss this opportunity at Netflix: Software Engineer New Graduate in Remote. Application link: https://jobs.netflix.com/netflix-software-engineer-new-graduate-remote-core Deadline: April 11, 2026.	relevant
E112	rewards@foodapp.com	Flash Sale on Electronics	3/5/26	Compete with students across the country in an artificial intelligence hackathon this month.	irrelevant
E124	events@careercenter.edu	Free webinar on interview preparation	3/6/26	Your account summary for this month is now available online.	irrelevant
E091	recruiting@apple.com	Interview invitation: Backend Developer at Apple	3/7/26	You have been invited to schedule an interview for the Backend Developer position at Apple.	relevant
E097	events@careercenter.edu	Free webinar on interview preparation	3/7/26	Get forty percent off on selected items this weekend only.	irrelevant
E108	events@careercenter.edu	Flash Sale on Electronics	3/7/26	You earned 220 reward points this week. Redeem them in the application.	irrelevant
E109	updates@housing.edu	Library hours updated for finals week	3/7/26	Please note the updated library hours starting Monday.	irrelevant
E017	careers@stripe.com	Data Scientist at Stripe	3/8/26	Applications are now open for the Data Scientist role at Stripe in Los Angeles, CA. Apply: https://stripe.com/jobs/stripe-data-scientist-los-angeles-ca-17 Deadline: April 04, 2026. Skills: Python, SQL, machine learning, experimentation.	relevant
E045	alerts@glassdoor.com	Computer Vision Intern at Tesla	3/8/26	Tesla is hiring a Computer Vision Intern in San Jose, CA. Apply here: https://tesla.com/careers/tesla-computer-vision-intern-san-jose-ca-45 Deadline: April 01, 2026. Required skills include Python, OpenCV, deep learning, computer vision.	relevant
E083	alerts@glassdoor.com	Reminder: apply for Computer Vision Intern at Intuit	3/8/26	Reminder: the Computer Vision Intern role at Intuit in Austin, TX is still open. Apply here: https://careers.intuit.com/intuit-computer-vision-intern-austin-tx-core Deadline: March 09, 2026.	relevant
E090	recruiting@palantir.com	Interview invitation: Backend Developer at Palantir	3/8/26	You have been invited to schedule an interview for the Backend Developer position at Palantir.	relevant
E001	careers@palantir.com	Palantir is hiring: Data Science Intern	3/9/26	Palantir is hiring a Data Science Intern in Remote. Apply here: https://palantir.com/careers/palantir-data-science-intern-remote-1 Deadline: March 16, 2026. Required skills include Python, SQL, pandas, experimentation.	relevant
E027	alerts@indeed.com	Microsoft is hiring: Backend Developer	3/9/26	Microsoft Careers has opened applications for a Backend Developer position in San Francisco, CA. Apply here: https://careers.microsoft.com/microsoft-backend-developer-san-francisco-ca-27. Deadline: April 12, 2026. Key skills: Python, application programming interfaces, PostgreSQL, cloud.	relevant
E031	careers@apple.com	Software Engineer New Graduate at Apple	3/9/26	Apple Careers has opened applications for a Software Engineer New Graduate position in New York, NY. Apply here: https://jobs.apple.com/apple-software-engineer-new-graduate-new-york-ny-31. Deadline: March 30, 2026. Key skills: Python, Java, algorithms, systems design.	relevant
E113	library@university.edu	Free webinar on interview preparation	3/9/26	Get forty percent off on selected items this weekend only.	irrelevant
E007	alerts@indeed.com	Data Science Intern at Salesforce	3/10/26	Salesforce is hiring a Data Science Intern in Los Angeles, CA. Apply here: https://salesforce.wd1.myworkdayjobs.com/salesforce-data-science-intern-los-angeles-ca-7 Deadline: April 11, 2026. Required skills include Python, SQL, pandas, experimentation.	relevant
E008	careers@servicenow.com	Artificial Intelligence Engineer Intern at ServiceNow	3/10/26	ServiceNow Careers has opened applications for a Artificial Intelligence Engineer Intern position in Palo Alto, CA. Apply here: https://careers.servicenow.com/servicenow-artificial-intelligence-engineer-intern-palo-alto-ca-8. Deadline: March 07, 2026. Key skills: Python, large language models, prompt engineering, retrieval.	relevant
E093	recruiting@apple.com	Interview invitation: Backend Developer at Apple	3/10/26	You have been invited to schedule an interview for the Backend Developer position at Apple.	relevant
E040	jobs-noreply@linkedin.com	Computer Vision Intern at Apple	3/11/26	Apple Careers has opened applications for a Computer Vision Intern position in San Jose, CA. Apply here: https://jobs.apple.com/apple-computer-vision-intern-san-jose-ca-40. Deadline: April 01, 2026. Key skills: Python, OpenCV, deep learning, computer vision.	relevant
E012	jobs-noreply@linkedin.com	Uber is hiring: Analytics Engineer	3/12/26	Applications are now open for the Analytics Engineer role at Uber in Remote. Apply: https://uber.com/careers/uber-analytics-engineer-remote-12 Deadline: March 29, 2026. Skills: SQL, dbt, data modeling, business intelligence.	relevant
E125	events@careercenter.edu	Free webinar on interview preparation	3/12/26	Cedar Dell maintenance is scheduled next week. Please review move details.	irrelevant
E005	careers@lifeatspotify.com	Machine Learning Engineer Intern opening in San Francisco, CA	3/13/26	Spotify is hiring a Machine Learning Engineer Intern in San Francisco, CA. Apply here: https://lifeatspotify.com/jobs/spotify-machine-learning-engineer-intern-san-francisco-ca-5 Deadline: March 11, 2026. Required skills include Python, PyTorch, deep learning, application programming interfaces.	relevant
E054	careers@servicenow.com	New Artificial Intelligence Engineer Intern opportunity at ServiceNow	3/13/26	Applications are now open for the Artificial Intelligence Engineer Intern role at ServiceNow in Mountain View, CA. Apply: https://careers.servicenow.com/servicenow-artificial-intelligence-engineer-intern-mountain-view-ca-54 Deadline: March 22, 2026. Skills: Python, large language models, prompt engineering, retrieval.	relevant
E053	careers@tesla.com	Tesla is hiring: Analytics Engineer	3/14/26	Tesla is hiring a Analytics Engineer in Redmond, WA. Apply here: https://tesla.com/careers/tesla-analytics-engineer-redmond-wa-53 Deadline: March 25, 2026. Required skills include SQL, dbt, data modeling, business intelligence.	relevant
E009	alerts@glassdoor.com	Spotify is hiring: Data Scientist	3/15/26	Applications are now open for the Data Scientist role at Spotify in San Jose, CA. Apply: https://lifeatspotify.com/jobs/spotify-data-scientist-san-jose-ca-9 Deadline: March 17, 2026. Skills: Python, SQL, machine learning, experimentation.	relevant
E021	careers@deloitte.com	Data Scientist Intern at Deloitte	3/15/26	New opportunity: Data Scientist Intern at Deloitte located in Boston, MA. Submit your application at https://careers.deloitte.com/deloitte-data-scientist-intern-boston-ma-21. Deadline: March 26, 2026. Preferred background: Python, SQL, machine learning, statistics.	relevant
E024	jobs-noreply@linkedin.com	Salesforce is hiring: Computer Vision Intern	3/15/26	New opportunity: Computer Vision Intern at Salesforce located in San Jose, CA. Submit your application at https://salesforce.wd1.myworkdayjobs.com/salesforce-computer-vision-intern-san-jose-ca-24. Deadline: April 04, 2026. Preferred background: Python, OpenCV, deep learning, computer vision.	relevant
E042	careers@nvidia.com	Data Science Intern opening in San Francisco, CA	3/15/26	Applications are now open for the Data Science Intern role at NVIDIA in San Francisco, CA. Apply: https://nvidia.com/en-us/about-nvidia/careers/nvidia-data-science-intern-san-francisco-ca-42 Deadline: March 25, 2026. Skills: Python, SQL, pandas, experimentation.	relevant
E071	alerts@glassdoor.com	Deadline approaching for Apple Software Engineer New Graduate	3/15/26	Reminder: the Software Engineer New Graduate role at Apple in New York, NY is still open. Apply here: https://jobs.apple.com/apple-software-engineer-new-graduate-new-york-ny-core Deadline: March 30, 2026.	relevant
E072	jobs-noreply@linkedin.com	Deadline approaching for Apple Software Engineer New Graduate	3/15/26	Application deadline approaching for Apple Software Engineer New Graduate. Location: New York, NY. Apply here: https://jobs.apple.com/apple-software-engineer-new-graduate-new-york-ny-core Deadline: March 30, 2026.	relevant
E130	noreply@bank.com	Flash Sale on Electronics	3/15/26	Join us for food, music, and networking at the student center this Friday.	irrelevant
E057	careers@stripe.com	New Backend Developer opportunity at Stripe	3/16/26	Stripe is hiring a Backend Developer in Boston, MA. Apply here: https://stripe.com/jobs/stripe-backend-developer-boston-ma-57 Deadline: April 13, 2026. Required skills include Python, application programming interfaces, PostgreSQL, cloud.	relevant
E013	alerts@indeed.com	New Computer Vision Intern opportunity at Tesla	3/17/26	New opportunity: Computer Vision Intern at Tesla located in Redmond, WA. Submit your application at https://tesla.com/careers/tesla-computer-vision-intern-redmond-wa-13. Deadline: April 19, 2026. Preferred background: Python, OpenCV, deep learning, computer vision.	relevant
E060	alerts@indeed.com	ServiceNow is hiring: Software Engineer New Graduate	3/17/26	ServiceNow Careers has opened applications for a Software Engineer New Graduate position in Austin, TX. Apply here: https://careers.servicenow.com/servicenow-software-engineer-new-graduate-austin-tx-60. Deadline: April 22, 2026. Key skills: Python, Java, algorithms, systems design.	relevant
E028	careers@uber.com	Junior Machine Learning Engineer at Uber	3/18/26	Uber Careers has opened applications for a Junior Machine Learning Engineer position in Redmond, WA. Apply here: https://uber.com/careers/uber-junior-machine-learning-engineer-redmond-wa-28. Deadline: March 22, 2026. Key skills: Python, machine learning operations, scikit-learn, SQL.	relevant
E050	careers@nvidia.com	NVIDIA is hiring: Junior Machine Learning Engineer	3/18/26	New opportunity: Junior Machine Learning Engineer at NVIDIA located in Los Angeles, CA. Submit your application at https://nvidia.com/en-us/about-nvidia/careers/nvidia-junior-machine-learning-engineer-los-angeles-ca-50. Deadline: April 18, 2026. Preferred background: Python, machine learning operations, scikit-learn, SQL.	relevant
E100	rewards@foodapp.com	Resume Workshop Next Tuesday	3/19/26	Cedar Dell maintenance is scheduled next week. Please review move details.	irrelevant
E104	noreply@bank.com	Free webinar on interview preparation	3/19/26	Cedar Dell maintenance is scheduled next week. Please review move details.	irrelevant
E070	careers@netflix.com	New Deep Learning Intern opportunity at Netflix	3/20/26	Netflix Careers has opened applications for a Deep Learning Intern position in Redmond, WA. Apply here: https://jobs.netflix.com/netflix-deep-learning-intern-redmond-wa-70. Deadline: March 28, 2026. Key skills: Python, PyTorch, neural networks, deep learning.	relevant
E029	careers@nvidia.com	Software Engineer New Graduate at NVIDIA	3/21/26	NVIDIA is hiring a Software Engineer New Graduate in Mountain View, CA. Apply here: https://nvidia.com/en-us/about-nvidia/careers/nvidia-software-engineer-new-graduate-mountain-view-ca-29 Deadline: April 28, 2026. Required skills include Python, Java, algorithms, systems design.	relevant
E034	jobs@handshake.com	Amazon is hiring: Software Engineer New Graduate	3/21/26	New opportunity: Software Engineer New Graduate at Amazon located in Seattle, WA. Submit your application at https://amazon.jobs/amazon-software-engineer-new-graduate-seattle-wa-34. Deadline: March 31, 2026. Preferred background: Python, Java, algorithms, systems design.	relevant
E069	jobs@handshake.com	Machine Learning Engineer Intern opening in Palo Alto, CA	3/21/26	Accenture Careers has opened applications for a Machine Learning Engineer Intern position in Palo Alto, CA. Apply here: https://accenture.com/us-en/careers/accenture-machine-learning-engineer-intern-palo-alto-ca-69. Deadline: April 24, 2026. Key skills: Python, PyTorch, deep learning, application programming interfaces.	relevant
E074	alerts@glassdoor.com	Deadline approaching for Uber Junior Machine Learning Engineer	3/21/26	Application deadline approaching for Uber Junior Machine Learning Engineer. Location: Redmond, WA. Apply here: https://uber.com/careers/uber-junior-machine-learning-engineer-redmond-wa-core Deadline: March 22, 2026.	relevant
E076	jobs-noreply@linkedin.com	Still open: Artificial Intelligence Engineer Intern at ServiceNow	3/21/26	Do not miss this opportunity at ServiceNow: Artificial Intelligence Engineer Intern in Mountain View, CA. Application link: https://careers.servicenow.com/servicenow-artificial-intelligence-engineer-intern-mountain-view-ca-core Deadline: March 22, 2026.	relevant
E087	recruiting@netflix.com	Application received for Deep Learning Intern at Netflix	3/21/26	Thank you for your interest in the Deep Learning Intern role at Netflix. We have received your application.	relevant
E123	travel@deals.com	Flash Sale on Electronics	3/21/26	Get forty percent off on selected items this weekend only.	irrelevant
E033	jobs-noreply@linkedin.com	Netflix is hiring: Software Engineer New Graduate	3/22/26	Netflix Careers has opened applications for a Software Engineer New Graduate position in Redmond, WA. Apply here: https://jobs.netflix.com/netflix-software-engineer-new-graduate-redmond-wa-33. Deadline: March 27, 2026. Key skills: Python, Java, algorithms, systems design.	relevant
E063	careers@servicenow.com	Artificial Intelligence Engineer Intern at ServiceNow	3/22/26	Applications are now open for the Artificial Intelligence Engineer Intern role at ServiceNow in Los Angeles, CA. Apply: https://careers.servicenow.com/servicenow-artificial-intelligence-engineer-intern-los-angeles-ca-63 Deadline: April 30, 2026. Skills: Python, large language models, prompt engineering, retrieval.	relevant
E117	updates@housing.edu	Your weekly rewards summary	3/22/26	Join us for food, music, and networking at the student center this Friday.	irrelevant
E135	updates@housing.edu	Your weekly rewards summary	3/22/26	Compete with students across the country in an artificial intelligence hackathon this month.	irrelevant
E022	careers@hubspot.com	HubSpot is hiring: Data Science Intern	3/23/26	HubSpot Careers has opened applications for a Data Science Intern position in Boston, MA. Apply here: https://careers.hubspot.com/hubspot-data-science-intern-boston-ma-22. Deadline: March 19, 2026. Key skills: Python, SQL, pandas, experimentation.	relevant
E102	events@careercenter.edu	Top destinations for summer travel	3/23/26	Compete with students across the country in an artificial intelligence hackathon this month.	irrelevant
E111	rewards@foodapp.com	Important account update	3/23/26	You earned 220 reward points this week. Redeem them in the application.	irrelevant
E116	events@hackathon.org	Your monthly statement is ready	3/23/26	Join this free online webinar about interview preparation and networking basics.	irrelevant
E019	careers@doordash.com	Deep Learning Intern at DoorDash	3/24/26	Applications are now open for the Deep Learning Intern role at DoorDash in Seattle, WA. Apply: https://careers.doordash.com/doordash-deep-learning-intern-seattle-wa-19 Deadline: May 03, 2026. Skills: Python, PyTorch, neural networks, deep learning.	relevant
E036	careers@google.com	Cloud Engineering Intern at Google	3/24/26	Google is hiring a Cloud Engineering Intern in Redmond, WA. Apply here: https://careers.google.com/google-cloud-engineering-intern-redmond-wa-36 Deadline: April 18, 2026. Required skills include Amazon Web Services, Python, Linux, networking.	relevant
E023	alerts@indeed.com	Snowflake is hiring: Machine Learning Engineer Intern	3/25/26	Applications are now open for the Machine Learning Engineer Intern role at Snowflake in Seattle, WA. Apply: https://careers.snowflake.com/snowflake-machine-learning-engineer-intern-seattle-wa-23 Deadline: April 24, 2026. Skills: Python, PyTorch, deep learning, application programming interfaces.	relevant
E043	jobs-noreply@linkedin.com	Stripe is hiring: Junior Machine Learning Engineer	3/25/26	Applications are now open for the Junior Machine Learning Engineer role at Stripe in San Jose, CA. Apply: https://stripe.com/jobs/stripe-junior-machine-learning-engineer-san-jose-ca-43 Deadline: March 17, 2026. Skills: Python, machine learning operations, scikit-learn, SQL.	relevant
E058	careers@linkedin.com	New Software Engineer New Graduate opportunity at LinkedIn	3/25/26	LinkedIn Careers has opened applications for a Software Engineer New Graduate position in Remote. Apply here: https://careers.linkedin.com/linkedin-software-engineer-new-graduate-remote-58. Deadline: April 20, 2026. Key skills: Python, Java, algorithms, systems design.	relevant
E121	rewards@foodapp.com	Top destinations for summer travel	3/25/26	Join this free online webinar about interview preparation and networking basics.	irrelevant
E014	jobs@handshake.com	New Deep Learning Intern opportunity at Uber	3/26/26	New opportunity: Deep Learning Intern at Uber located in Los Angeles, CA. Submit your application at https://uber.com/careers/uber-deep-learning-intern-los-angeles-ca-14. Deadline: April 03, 2026. Preferred background: Python, PyTorch, neural networks, deep learning.	relevant
E078	alerts@indeed.com	Still open: Junior Machine Learning Engineer at NVIDIA	3/26/26	Do not miss this opportunity at NVIDIA: Junior Machine Learning Engineer in Los Angeles, CA. Application link: https://nvidia.com/en-us/about-nvidia/careers/nvidia-junior-machine-learning-engineer-los-angeles-ca-core Deadline: April 18, 2026.	relevant
E044	alerts@glassdoor.com	Meta is hiring: Data Science Intern	3/27/26	Applications are now open for the Data Science Intern role at Meta in Menlo Park, CA. Apply: https://careers.meta.com/meta-data-science-intern-menlo-park-ca-44 Deadline: March 28, 2026. Skills: Python, SQL, pandas, experimentation.	relevant
E079	jobs@handshake.com	Deadline approaching for ServiceNow Artificial Intelligence Engineer Intern	3/27/26	Application deadline approaching for ServiceNow Artificial Intelligence Engineer Intern. Location: Los Angeles, CA. Apply here: https://careers.servicenow.com/servicenow-artificial-intelligence-engineer-intern-los-angeles-ca-core Deadline: April 30, 2026.	relevant
E114	newsletter@university.edu	Housing maintenance notice	3/27/26	Your account summary for this month is now available online.	irrelevant
E122	rewards@foodapp.com	Registration open for Artificial Intelligence Hackathon	3/27/26	Join this free online webinar about interview preparation and networking basics.	irrelevant
E088	recruiting@lifeatspotify.com	Update on your application to Spotify	3/28/26	Thank you for your interest in the Data Scientist role at Spotify. We have received your application.	relevant
E025	careers@microsoft.com	Microsoft is hiring: Business Analyst	3/29/26	Microsoft is hiring a Business Analyst in Remote. Apply here: https://careers.microsoft.com/microsoft-business-analyst-remote-25 Deadline: April 25, 2026. Required skills include SQL, communication, reporting, business analysis.	relevant
E035	careers@airbnb.com	New Artificial Intelligence Engineer Intern opportunity at Airbnb	3/29/26	Airbnb is hiring a Artificial Intelligence Engineer Intern in Remote. Apply here: https://careers.airbnb.com/airbnb-artificial-intelligence-engineer-intern-remote-35 Deadline: May 07, 2026. Required skills include Python, large language models, prompt engineering, retrieval.	relevant
E062	jobs@handshake.com	Artificial Intelligence Engineer Intern opening in Mountain View, CA	3/29/26	Airbnb Careers has opened applications for a Artificial Intelligence Engineer Intern position in Mountain View, CA. Apply here: https://careers.airbnb.com/airbnb-artificial-intelligence-engineer-intern-mountain-view-ca-62. Deadline: April 28, 2026. Key skills: Python, large language models, prompt engineering, retrieval.	relevant
E075	alerts@indeed.com	Deadline approaching for Netflix Deep Learning Intern	3/29/26	Reminder: the Deep Learning Intern role at Netflix in Redmond, WA is still open. Apply here: https://jobs.netflix.com/netflix-deep-learning-intern-redmond-wa-core Deadline: March 28, 2026.	relevant
E120	rewards@foodapp.com	Your weekly rewards summary	3/29/26	Cedar Dell maintenance is scheduled next week. Please review move details.	irrelevant
E128	events@hackathon.org	Library hours updated for finals week	3/29/26	Get forty percent off on selected items this weekend only.	irrelevant
E003	careers@tesla.com	Artificial Intelligence Engineer Intern opening in Los Angeles, CA	3/30/26	New opportunity: Artificial Intelligence Engineer Intern at Tesla located in Los Angeles, CA. Submit your application at https://tesla.com/careers/tesla-artificial-intelligence-engineer-intern-los-angeles-ca-3. Deadline: March 23, 2026. Preferred background: Python, large language models, prompt engineering, retrieval.	relevant
E006	careers@nvidia.com	Analytics Engineer opening in Austin, TX	3/30/26	NVIDIA is hiring a Analytics Engineer in Austin, TX. Apply here: https://nvidia.com/en-us/about-nvidia/careers/nvidia-analytics-engineer-austin-tx-6 Deadline: April 07, 2026. Required skills include SQL, dbt, data modeling, business intelligence.	relevant
E038	careers@hubspot.com	Artificial Intelligence Engineer Intern opening in Chicago, IL	3/30/26	Applications are now open for the Artificial Intelligence Engineer Intern role at HubSpot in Chicago, IL. Apply: https://careers.hubspot.com/hubspot-artificial-intelligence-engineer-intern-chicago-il-38 Deadline: March 24, 2026. Skills: Python, large language models, prompt engineering, retrieval.	relevant
E059	careers@microsoft.com	New Computer Vision Intern opportunity at Microsoft	3/31/26	Applications are now open for the Computer Vision Intern role at Microsoft in Austin, TX. Apply: https://careers.microsoft.com/microsoft-computer-vision-intern-austin-tx-59 Deadline: April 12, 2026. Skills: Python, OpenCV, deep learning, computer vision.	relevant
E064	careers@datadoghq.com	Datadog is hiring: Computer Vision Intern	3/31/26	Applications are now open for the Computer Vision Intern role at Datadog in San Jose, CA. Apply: https://careers.datadoghq.com/datadog-computer-vision-intern-san-jose-ca-64 Deadline: April 13, 2026. Skills: Python, OpenCV, deep learning, computer vision.	relevant
E011	careers@accenture.com	New Software Engineer New Graduate opportunity at Accenture	4/1/26	Accenture is hiring a Software Engineer New Graduate in Seattle, WA. Apply here: https://accenture.com/us-en/careers/accenture-software-engineer-new-graduate-seattle-wa-11 Deadline: May 07, 2026. Required skills include Python, Java, algorithms, systems design.	relevant
E081	jobs-noreply@linkedin.com	Reminder: apply for Data Science Intern at HubSpot	4/1/26	Do not miss this opportunity at HubSpot: Data Science Intern in Boston, MA. Application link: https://careers.hubspot.com/hubspot-data-science-intern-boston-ma-core Deadline: March 19, 2026.	relevant
E103	updates@housing.edu	Free webinar on interview preparation	4/1/26	We have updated our privacy policy and terms of service.	irrelevant
E032	careers@snowflake.com	Data Science Intern at Snowflake	4/2/26	New opportunity: Data Science Intern at Snowflake located in Remote. Submit your application at https://careers.snowflake.com/snowflake-data-science-intern-remote-32. Deadline: April 28, 2026. Preferred background: Python, SQL, pandas, experimentation.	relevant
